Name,Genetics,THC,CBD,Effects,Aroma
Blue Dream,Sativa,19%,"0,1%",Motivating; social; cerebral; later relaxing,Berries; sweet; herbal; pine
GSC / Girl Scout Cookies,Indica,25–28%,Unbekannt,Uplifting; cerebral; balanced; happy; body buzz,Sweet; fruity; mint
Critical,Indica,18%,low,Strong; body buzz; uplifting; relaxed; balanced,Pungent; sweet; earthy
OG Kush,Indica,19–25%,"0,3%",Relaxed; euphoric; body buzz; long-lasting; balanced,Citrus; diesel; earthy; pine; spicy
Northern Lights,Indica,18%,Unbekannt,Relaxed; body buzz; social; narcotic/sedating,Pine; pungent; earthy; sweet
Sour Diesel,Sativa,19%,Unbekannt,Relaxed; cerebral; focused,Diesel; herbal; sour
Amnesia Haze,Sativa,22–24%,low,Energizing; euphoric; uplifting; strong; cerebral,Sweet; citrus; earthy; pepper; spicy
Jack Herer,Sativa-hybrid,Hoch,Unbekannt,Euphoric; cerebral; uplifting; energizing,Citrus; spicy; sweet
White Widow,Indica,20–22%,Niedrig,Uplifting; strong; energizing; talkative; euphoric,Sweet; pungent; fruity; spicy; pine
AK-47,Sativa,high,-,Social; cerebral; alert; relaxed; calming,Spicy; pine; skunk; citrus
Durban Poison,Sativa,15–25% / Hoch,-,Uplifting; energizing; focused; creative,Spicy; sweet; fruity
Pineapple Express,Sativa,25%,Niedrig,Social; cerebral; energizing; relaxed,Pine; tropical; citrus; pineapple
Original Glue / GG4,Indica,24–30%,Unbekannt,Body buzz; uplifting; narcotic/sedating; strong,Pine; sweet; earthy; fuel; citrus
Granddaddy Purple,Indica,17–23% / Mittelhoch,-,Euphoric; body buzz; relaxed; cerebral; balanced,Grapes; berries; sweet; fruity
Gelato,Indica,26%,low,Relaxed; euphoric; happy; strong,Sweet; mint; lemon; vanilla; creamy
Wedding Cake,Indica-hybrid,Hoch / ca. 16–25%,Niedrig,Happy; balanced; relaxed; euphoric,Citrus; spicy; candy; sweet; dessert-like
Purple Haze,Sativa,ca. 19%,0–1%,Energizing; social; creative,Berries; herbal; grapes
Runtz,Indica-hybrid,27%,<1%,Relaxed; creative; euphoric; uplifting,Fruity; candy; sugary; citrus
Strawberry Cough,Sativa,ca. 15–20%,Nicht angegeben,Euphoric; creative; content; social; cerebral,Sweet; fruity; strawberry-like; berry-like
Chem Dawg,Indica,24%,"0,1%",Relaxed; creative; motivating; strong,Sour; citrus; pine; fruity
Lemon Haze,Sativa,21%,Unbekannt,Energizing; trippy; relaxed; euphoric; happy; cerebral,Citrus; skunk; lemon
Critical Kush,Indica,20–25%,1–2%,Relaxed; calming; strong; body buzz; long-lasting,Citrus; earthy; spicy; woody; lemon
Blueberry,Indica,19–20% / ca. 17% avg,-,Relaxed; euphoric; uplifting; long-lasting; body buzz,Fruity; sweet; blueberry
Super Lemon Haze,Sativa,bis 25%,Nicht angegeben,Cerebral; euphoric; energizing; creative; uplifting,Lemon; lime; citrus; floral
Cereal Milk,Indica-hybrid,18–23%,low,Relaxed; euphoric; happy; creative; balanced,Sweet; creamy; vanilla; berry; cereal-like
Green Poison,Indica,15–20%,low,Relaxed; euphoric; happy; calming; body buzz,Sweet; fruity; floral; skunky
Oreoz,Indica-hybrid,20–30%,low,Relaxed; euphoric; calming; sleepy; appetite-friendly,Sweet; chocolate; diesel; nutty; earthy
